Var1,means,medians,Nrs
Vienna_Cathedral,9.68947519412343,4.21773687636692,674
Piazza_del_Popolo,7.29271944303358,3.5179231698121,275
NYC_Library,3.38334786207529,2.23147333155499,277
Alamo,2.52920429643028,1.20724759674494,481
Madrid_Metropolis,15.2808580732446,6.95150261763114,168
Yorkminster,5.61675550774683,2.78581652408251,341
Montreal_Notre_Dame,1.90807796783026,1.01235416032713,415
Tower_of_London,11.0568303655267,5.01552313469145,414
Ellis_Island,14.1334484941586,6.17433336802784,211
Notre_Dame,1.83931899249067,0.813889056193008,529
